"image_id","status","n_brain_px","mean_brain","sd_brain","error_msg"
"image_00302","OK",6701,0.402003212865507,0.131663127990608,NA
"image_00303","OK",6701,0.388737999303587,0.12926398196254,NA
"image_00304","OK",6686,0.309204043567771,0.111547038402206,NA
"image_00305","OK",6647,0.321712139045478,0.122499112748685,NA
"image_00306","OK",6665,0.272367209449421,0.102475913302457,NA
"image_00307","OK",6689,0.268932018913112,0.103277678479625,NA
"image_00308","OK",6791,0.247646539104524,0.0948074285096797,NA
"image_00309","OK",6769,0.309465006271381,0.124357868624277,NA
"image_00310","OK",6502,0.335346740972612,0.13171430565925,NA
"image_00311","OK",5629,0.320905221210886,0.128252082733867,NA
"image_00312","OK",6639,0.380428927106315,0.116764214114608,NA
"image_00313","OK",6492,0.313207809309799,0.118699778273911,NA
"image_00314","OK",7484,0.300283480575555,0.11057044308455,NA
"image_00315","OK",7308,0.304485549008876,0.110388317703955,NA
"image_00316","OK",7243,0.32812167528892,0.121153603991935,NA
"image_00317","OK",7354,0.289506844347747,0.109105511604163,NA
"image_00318","OK",7012,0.310282093442054,0.113883429241849,NA
"image_00319","OK",7036,0.326565339040676,0.121387208365191,NA
"image_00320","OK",6426,0.308306176501102,0.121413664114828,NA
"image_00321","OK",6232,0.267477629691158,0.10092876794223,NA
"image_00322","OK",6942,0.288737635647748,0.102091661948002,NA
"image_00323","OK",7147,0.314847584479433,0.0961607713948858,NA
"image_00324","OK",6797,0.294961877644982,0.105026763877975,NA
"image_00325","OK",7390,0.297187110297434,0.111172660650208,NA
"image_00326","OK",6260,0.255425828478356,0.0988880387257979,NA
"image_00327","OK",6588,0.250054615045775,0.0991600046236154,NA
"image_00328","OK",6845,0.279058279264957,0.105357036593528,NA
"image_00329","OK",7198,0.258316988923939,0.0980063175802773,NA
"image_00330","OK",7268,0.257279560145467,0.0831274674544459,NA
"image_00331","OK",7809,0.244952154251379,0.071820630746528,NA
"image_00332","OK",7704,0.305133696780893,0.0921430244211671,NA
"image_00333","OK",8446,0.335488083464501,0.0925389798602793,NA
"image_00334","OK",6131,0.310220160483048,0.107431245957116,NA
"image_00335","OK",7909,0.337760159064258,0.108600401576348,NA
"image_00336","OK",7698,0.371130392921003,0.110835566727929,NA
"image_00337","OK",7947,0.291606648951263,0.0925234198283139,NA
"image_00338","OK",8388,0.292545606702385,0.0905960013819105,NA
"image_00339","OK",8064,0.30245073723934,0.0864236317144818,NA
"image_00340","OK",4610,0.238612564331589,0.0899426352679406,NA
"image_00341","OK",5654,0.221747227366362,0.0779370501915727,NA
"image_00342","OK",5914,0.252329799014635,0.0879756001377982,NA
"image_00343","OK",4299,0.354150303992264,0.133323074108386,NA
"image_00344","OK",6594,0.320877565463553,0.125917604285307,NA
"image_00345","OK",6677,0.318427613669401,0.120628910110842,NA
"image_00346","OK",8228,0.362857459464097,0.119052194849547,NA
"image_00347","OK",6719,0.33477714645912,0.122945124952221,NA
"image_00348","OK",6707,0.2913995328264,0.106379089450253,NA
"image_00349","OK",6580,0.296595297693546,0.111328343884035,NA
"image_00350","OK",6573,0.302293398722641,0.11337255878763,NA
"image_00351","OK",6389,0.294213706769294,0.119676200479377,NA
"image_00352","OK",5413,0.300932395866161,0.114860501709543,NA
"image_00353","OK",6010,0.274026948549803,0.107577753884452,NA
"image_00354","OK",7302,0.231712638492811,0.0846656918848792,NA
"image_00355","OK",7327,0.260498773004493,0.0956376953695804,NA
"image_00356","OK",7266,0.313069331778954,0.114476907341455,NA
"image_00357","OK",8294,0.360157945502773,0.113007157178797,NA
"image_00358","OK",6750,0.288685112563544,0.111010842444218,NA
"image_00359","OK",6288,0.2752210871626,0.105436347750558,NA
"image_00360","OK",7959,0.329857923820364,0.127796272887581,NA
"image_00361","OK",8421,0.318831888532637,0.125378200878913,NA
"image_00362","OK",8645,0.29763197586727,0.117638611349335,NA
"image_00363","OK",7263,0.344182574585665,0.12410357033981,NA
"image_00364","OK",7477,0.354839022676076,0.129113426829046,NA
"image_00365","OK",7932,0.349487803189859,0.130024264651177,NA
"image_00366","OK",6324,0.417674033560293,0.121749711313785,NA
"image_00367","OK",7124,0.417333564531933,0.123679586574221,NA
"image_00368","OK",7984,0.292634042594994,0.11116582173331,NA
"image_00369","OK",9034,0.278844409138462,0.104499674424038,NA
"image_00370","OK",9257,0.282858335080819,0.102735378738039,NA
"image_00371","OK",8953,0.312677862388114,0.114028438043664,NA
"image_00372","OK",8133,0.337710079728436,0.114797953525983,NA
"image_00373","OK",7471,0.392816275218426,0.128100777996596,NA
"image_00374","OK",7518,0.344579153821678,0.121687139773522,NA
