"image_id","split","class","mean_intensity","variance","skewness","kurtosis","energy","entropy","contrast","correlation","glcm_energy","homogeneity","dissimilarity","tumor_area","aspect_ratio","perimeter","extraction_error"
"image_00024","train","glioma_tumor",-5.85002132206332e-16,0.999999999999992,2.0707986028694,4.846694364161,6290.99999999995,4.81629613141082,17.1955732154528,0.611828448135432,0.0240111281577692,0.49015278170003,2.293068665389,6292,1.2247191011236,1189,NA
"image_00025","train","glioma_tumor",-3.86632574346681e-16,0.999999999999999,1.32150243852723,1.48088917284099,6847,5.02935235443593,16.8736965328886,0.74510730856253,0.011644085690176,0.435580190009071,2.5430716436588,6848,1.21505376344086,1214,NA
"image_00026","train","glioma_tumor",-7.74217667345046e-17,0.999999999999995,1.46965081967472,1.61094349634374,6950.99999999997,4.85298920634231,20.5291112742321,0.729256935390826,0.0161347368723912,0.459327105683826,2.66312021687095,6952,1.21052631578947,1490,NA
"image_00027","train","glioma_tumor",-1.232750686288e-15,0.999999999999984,1.80384941866529,3.30087049878843,7544.99999999987,4.79443985399538,12.1906050711992,0.715901391512904,0.0341683426371596,0.552782537248995,1.90783618043279,7546,1.19387755102041,1528,NA
"image_00028","train","glioma_tumor",6.42844033187599e-17,1.00000000000001,1.87438465983629,3.4580265229004,7712.00000000006,4.72967389423167,16.4684324711047,0.708378709056025,0.0266485395781615,0.513388239679599,2.22997884115484,7713,1.19191919191919,1761,NA
"image_00029","train","glioma_tumor",5.60775915499441e-16,0.999999999999994,1.99239395557406,4.17019804340477,7740.99999999996,4.7431359323461,14.5807195967698,0.700374825778817,0.0276474126583289,0.525559678062989,2.08350794509524,7742,1.2020202020202,1856,NA
"image_00030","train","glioma_tumor",-9.34506904895537e-16,0.999999999999979,2.04101358410666,4.54669139275316,7887.99999999991,4.74920856822652,14.365874596164,0.703938563168666,0.0271653043897375,0.532584105513973,2.02416285486814,7889,1.18811881188119,2014,NA
"image_00031","train","glioma_tumor",5.53971987213989e-16,1,1.30237381619834,1.2759612928289,8183.00000000002,4.98582512334856,16.416156835636,0.719295902966604,0.014234641786133,0.447509537033453,2.48400304333866,8184,1.10280373831776,1018,NA
"image_00032","train","glioma_tumor",5.23507634624197e-16,1,1.58930744673549,2.16105590648957,8012.00000000003,4.84124913217217,12.0357552292229,0.740104948106201,0.0263846630447179,0.515912950435119,2.02353922404416,8013,1.14,1461,NA
"image_00033","train","glioma_tumor",1.33226762955019e-16,1,1.79867815500972,3.99672297741868,6609.00000000003,4.95942506793706,17.2864131586756,0.632638759568007,0.0167379148179154,0.467507509139585,2.39324283668049,6610,1.23076923076923,1574,NA
